quadra,par,titulo,nicho,prioridade,reviews,rating,site,telefone,endereco,status,motivo_reprova,revisar_manual,cnpj,porte,mei,gate_mei,place_id,origem_raw,coletado_em
310,310/311,310 Norte Comércio Local,Centro comercial,P2,155,4.6,,(61) 99219-1688,"Asa Norte Comércio Local Norte 310 - Asa Norte, Brasília - DF, 70756-540",REPROVADO,Nao e empresa (imovel/infraestrutura publica),,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJAa3QE0s7WpMRNh4L4ViRmf4,q310-s0.json,2026-08-10
310,310/311,Lavou Lavanderia Self Service,Lavanderia,P2,94,4,https://lavoulavanderia.com.br/,(61) 99456-8787,"Asa Norte CLN 310 Lj 17 - Asa Norte, Brasília - DF, 70756-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJrQwP6HM7WpMReYugV1kbFxI,q310-s0.json,2026-08-10
310,310/311,Mercadinho Lobão - CLN 310 Norte,Loja de cervejas,P2,56,4.5,http://mercadinholobao.com.br/,,"Asa Norte Comércio Local Norte 310 Bl A Loja 16 - Asa Norte, Brasília - DF, 70756-500",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJy5QocLE7WpMRg81XG8UhRno,q310-s20.json,2026-08-10
310,310/311,Ágata Amaral Centro de Estética - Asa Norte - Brasília,Esteticista,P2,53,4.7,http://www.agataamaral.com.br/,(61) 99584-1994,"Asa Norte CLN 310 Sl 212 - Plano Piloto, Brasília - DF, 70756-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJq2D6xhY7WpMRmlg50w-ZoQc,q310-s20.json,2026-08-10
310,310/311,PAULA BORGES,Salão de Beleza,P3,17,4.8,,(61) 3447-3685,"Asa Norte Comércio Local Norte 310, loja 35 - Asa Norte, Brasília - DF, 70756-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJ_0JVkDA6WpMRvAAGTqH1HDQ,q310-s20.json,2026-08-10
310,310/311,Óptica M&Z,Ótica,P3,15,5,,(61) 99523-2922,"Asa Norte Comércio Local Norte 310, Quadra Loja 12 - Asa Norte, Brasília - DF, 70757-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJZXQBRkQ7WpMRhy09HW5uPnE,q311-s0.json,2026-08-10
310,310/311,Livic Coworking,Espaço de coworking,P3,13,4.9,http://www.livic.com.br/,(61) 99916-2462,"Asa Norte CLN 310 Sl 216 - Plano Piloto, Brasília - DF, 70756-530",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJWfmWqWw7WpMRYhUjkc2-PG0,q310-s20.json,2026-08-10
310,310/311,Mega Abusada Modas,Loja de moda feminina,P3,13,5,http://www.megaabusada.com.br/,(61) 99353-4659,"SHCN CLN 310 Sl 205 - Asa Norte, Brasília - DF, 70756-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJ2UYGErc7WpMRP9ACLfbMTSs,q310-s20.json,2026-08-10
310,310/311,SPA Ágata Amaral - Asa Norte,Spa,P3,10,5,https://www.agataamaralspa.com.br/,(61) 99173-7452,"Asa Norte CLN 310, Bloco B Lj 5 - Asa Norte, Brasília - DF, 70756-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJC4cTpnc7WpMRa_SKvKhL6Ek,q310-s20.json,2026-08-10
310,310/311,Cor & Flor,Loja de moda feminina,P3,6,4.5,https://www.modacoreflor.com.br/,(61) 99921-9841,"Asa Norte Comércio Local Norte 310 Bl D Loja 37 - Asa Norte, Brasília - DF, 70756-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJU624LFA7WpMRtHW-8n61XxQ,q310-s0.json,2026-08-10
310,310/311,Natura 310 Asa Norte,Loja de cosmético,P3,3,5,https://www.natura.com.br/nossas-lojas,(61) 99670-4239,"Asa Norte Comércio Local Norte 310 E, LOJA 16 e 20 - Asa Norte, Brasília - DF, 70756-500",REPROVADO,Grande franquia/rede: Natura (loja de marca),,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJKXubQZU5WpMRbcpYcVpSMO4,q310-s0.json,2026-08-10
310,310/311,bLOw - Asa Norte | Brasília,Salão de Beleza,P3,1,5,,(61) 99500-0626,"Asa Norte Comércio Local Norte 310 Lj 8 - Asa Norte, Brasília - DF, 70756-530",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJp-fX7Cs7WpMRCKHaFnyDR2Q,q310-s0.json,2026-08-10
310,310/311,Hiper Clean Brasília,Lavanderia,P3,1,4,,(61) 3254-4692,"SHCN CLN 310 - Asa Norte, Brasília - DF, 70655-775",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJPZxILTc6WpMRl1LedqBDYIg,q310-s0.json,2026-08-10
310,310/311,Edifício Center Norte,Apartamentos,P3,1,5,,,"SHCN CLN 310 Entrada 49 - Asa Norte, Brasília - DF, 70756-540",REPROVADO,Nao e empresa (imovel/infraestrutura publica),,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJEYxGLgA7WpMRtmx68XCmTPU,q310-s0.json,2026-08-10
311,310/311,VIA FLORA,Loja de moda feminina,P1,37,4.7,http://www.lojasviaflora.com.br/,(61) 3256-7129,"BL B, Comércio Local Norte, 311 - Loja 14 - Asa Norte, Brasília - DF, 70757-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJBaSPtlMuWpMRkYg5c5nADpY,q311-s0.json,2026-08-10
311,310/311,Bijoux Mix,Joalheria especializada em itens personalizados,P1,29,4.5,,3963-3921,"SHCN Comércio Local Norte 311 - Plano Piloto, Brasília - DF, 70757-500",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJGRCaizA6WpMR2JQUfrdvjAQ,q311-s0.json,2026-08-10
311,310/311,S.O.S Makeup - Loja de Maquiagem,Loja de produtos de beleza,P1,26,4.5,,(61) 98202-9506,"Asa Norte CLN 311 Lj 18 - Asa Norte, Brasília - DF, 70757-530",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJ3_MgRXU7WpMRY-TOXMYCzp4,q311-s0.json,2026-08-10
311,310/311,Açaí Artesanal - 311 Norte,Loja de açaí,P2,733,4.5,http://acaiartesanal.com.br/,(61) 3037-2955,"Asa Norte CLN 311, BL E Lj 60 - Asa Norte, Brasília - DF, 70757-550",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJ7V8igTA6WpMRKJaFO4j_LeA,q311-s20.json,2026-08-10
311,310/311,Açaí Amazônia,Loja,P2,429,4.3,http://acaiamazonia.com/novo/?page_id=4022,(61) 99966-7089,"SHCN CLN 311 - Asa Norte, Brasília - DF, 70757-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJn96wWDA6WpMRwwcit8qrr3Q,q311-s0.json,2026-08-10
311,310/311,Açaí Official 311 norte,Loja de açaí,P2,269,4.8,https://franquias.acaiofficial.com.br/,(61) 98286-5753,"SHCN CLN 311 - Asa Norte, Brasília - DF, 70757-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJTUrN_BQ7WpMRyDYtfFH7R88,q311-s0.json,2026-08-10
311,310/311,Cristal Fit,Academia,P2,256,4.6,https://www.academiacristalfit.com.br/,(61) 99247-1175,"Asa Norte Comércio Local Norte 311 Bl E - Asa Norte, Brasília - DF, 70757-550",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJS_pFgTA6WpMRbFj8G2-ejj8,q311-s20.json,2026-08-10
311,310/311,Posto Verde Amarelo,Posto de combustível,P2,254,4,http://www.br.com.br/,(61) 3462-3607,"SHCN Superquadra Norte 311 - Asa Norte, Brasília - DF, 70757-500",APROVADO,,Posto de combustível - revendedor costuma ser dono local,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJ1-qTRDA6WpMRw5puD5I82VQ,q311-s0.json,2026-08-10
311,310/311,Farmácia Pague Menos,Farmácia,P2,227,3.3,https://www.paguemenos.com.br/?utm_source=google&utm_medium=website&utm_campaign=youmap,4002-8282,"SHCN CL QD 311 BLOCO A 72, Asa Norte, Brasília - DF, 70757-510",REPROVADO,Grande franquia/rede: Pague Menos (rede nacional),,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJq6rq9zA6WpMRLHj1mEn706Y,q311-s0.json,2026-08-10
311,310/311,Fazendola - Cozinha e Bar,Restaurante,P2,177,4,https://mechamenozap.com.br/fazendolacozinhaebar/,(61) 99204-8876,"SHCN CLN 311, BL D - Asa Norte, Brasília - DF, 70757-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJgZnA48E7WpMRcQdfpyNGwms,q311-s20.json,2026-08-10
311,310/311,"DL Assistência Técnica - Conserto de Fogão,Microondas, Forno, TV, Geladeira, Lava e seca, Adega",Assistência técnica de eletrodomésticos,P2,148,4.7,,(61) 99977-0889,"SHCN CLN 311 Bloco D , loja 36 - Plano Piloto, Brasília - DF, 70757-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJ2WUoIwA7WpMRdoRfbVW7RHQ,q311-s20.json,2026-08-10
311,310/311,Alfaitaria por Eduardo Ferreira,Alfaiate,P2,144,4.9,,(61) 98107-1994,"Asa Norte CLN 311, BL B ss 04 - Asa Norte, Brasília - DF, 70757-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJ6_OkpMM7WpMRuy0lzwcgKvs,q311-s20.json,2026-08-10
311,310/311,Bijou Arte - acessórios e peças para montagem de bijouterias,Loja de acessórios de moda,P2,140,4.4,https://bijouarte.wixsite.com/bijouarte,(61) 3347-3670,"Asa Norte CLN 311 Lj 18 - Asa Norte, Brasília - DF, 70757-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJa9DLAjY6WpMRWqIdFfDFjQI,q311-s20.json,2026-08-10
311,310/311,"Renova Calçados Consertos Sapatos, Bolsas e Malas - Sapateiro",Oficina de conserto de botas,P2,105,3.9,,(61) 98200-6985,"Asa Norte Comércio Local Norte 311 - Plano Piloto, Brasília - DF, 70757-530",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJkzZnB-Y6WpMRCHs-uVCuVXA,q311-s0.json,2026-08-10
311,310/311,Restaurante Dom De Minas,Restaurante self-service,P2,99,4,,(61) 99890-7574,"Asa Norte CLN 311, BL B Lj 62 - Asa Norte, Brasília - DF, 70713-000",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJ4TK89DA6WpMRGRrYPx0afCs,q311-s20.json,2026-08-10
311,310/311,PAPELARIA ARTE E CIA,Papelaria,P2,92,4.5,https://wa.me/556132740044,(61) 3274-0044,"Asa Norte Comércio Local Norte 311 LOJAS 12/14 TÉRREO - Asa Norte, Brasília - DF, 70757-530",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJ1UJ1jjA6WpMRSsKErawIzjA,q311-s0.json,2026-08-10
311,310/311,Telvox Tecnologia Eletrônica Eireli,Loja de eletrônicos,P2,82,4.6,,(61) 3447-1905,"Asa Norte Comércio Local Norte 311 LOJA 08 - Asa Norte, Brasília - DF, 70757-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJzVTV6t8yWpMR1Bl8HtMV7H8,q311-s0.json,2026-08-10
311,310/311,Drogasil,Farmácia,P2,57,3.9,,(61) 99698-6289,"Asa Norte CLN 311 Terreo, Loja S 02,06,10,12,16,20 E 72 - Asa Norte, Brasília - DF, 70757-550",REPROVADO,Grande franquia/rede: Drogasil (rede nacional),,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJVVWVhjA6WpMRs2CAgCFYOn4,q311-s0.json,2026-08-10
311,310/311,Lavamais Lavanderia - Asa Norte - 311 Norte,Lavanderia,P2,55,4.6,,(61) 3033-3295,"Asa Norte Comércio Local Norte 311 Lj 02 - Asa Norte, Brasília - DF, 70757-530",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJVVVFijA6WpMRM46W5FLU4xI,q310-s20.json,2026-08-10
311,310/311,Ateliê Antônia Vieira,Costureira,P3,17,4.5,,(61) 99524-9428,"CLN 311 Bloco B Subsolo Loja 37, Asa Norte, Brasília - DF, 70360-530",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJX-ZENHc7WpMRq-vVjek_FLA,q311-s20.json,2026-08-10
311,310/311,Flower Moda Fitness,Loja de moda feminina,P3,6,5,https://yzeedigital.com.br/flower-modas,(61) 99657-3040,"Asa Norte CLN 311 Lj 70 - Asa Norte, Brasília - DF, 70757-550",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJn0shgTA6WpMRVhyqW5PL9Z0,q311-s20.json,2026-08-10
311,310/311,STUDIO RAY | Cabelo e Maquiagem,Salão de Beleza,P3,2,4.5,,(61) 99314-1305,"Asa Norte CLN 311, BL D Lj 32 - Asa Norte, Brasília - DF, 70757-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJlZsELHo7WpMRotIFNmThIXg,q311-s20.json,2026-08-10
311,310/311,Stillo10 - 311 Norte,Loja de Roupa,P3,1,5,https://www.instagram.com/stillo10/,(61) 99332-4700,"Asa Norte CLN 311 Lj 40 - Plano Piloto, Brasília - DF, 70757-550",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJLTklDBo7WpMRr7uBidKYJTs,q311-s0.json,2026-08-10
311,310/311,Flats Asa Norte 311 Bloco C,Apartamento para férias,P3,1,5,,(61) 99851-4848,"Asa Norte Comércio Local Norte 311 - Asa Norte, Brasília - DF, 70757-530",REPROVADO,Nao e empresa (imovel/infraestrutura publica),,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJIy6vizA6WpMRbSthaoMIXNo,q311-s20.json,2026-08-10
311,310/311,Flat Asa Norte CLN 311 Bloco B,Casa,P3,0,,https://www.freecancellations.com/search/F2gnRgcBGXdRWFcBWV0FFw0MVx43TFJB?lat=-15.75624&lng=-47.89106&language=de,,"Asa Norte Comércio Local Norte 311 - Asa Norte, Brasília - DF, 70757-500",REPROVADO,Nao e empresa (imovel/infraestrutura publica),,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJr6yqizA6WpMR-DS6uNlAc0M,q311-s0.json,2026-08-10
311,310/311,Flat Asa Norte CLN 311 - Bloco B - Apartment,Casa,P3,0,,https://br.bluepillow.com/search/67a1fbef5a2dfa15b1800f6d?dest=bkng&cat=House&lat=-15.75624&lng=-47.89107&language=pt,,"Asa Norte Comércio Local Norte 311 - Asa Norte, Brasília - DF, 70757-500",REPROVADO,Nao e empresa (imovel/infraestrutura publica),,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJ81NVijA6WpMRQ4b1h11BCHA,q311-s0.json,2026-08-10
311,310/311,CLN 311 Bloco D,Apartamentos,P3,0,,,,"SHCN CLN 311, BL D - Plano Piloto, Brasília - DF, 70757-500",REPROVADO,Nao e empresa (imovel/infraestrutura publica),,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJG4w4KAA7WpMRtC39rjAwLrk,q311-s20.json,2026-08-10
312,312/313,Drogasil,Farmácia,P1,49,3.5,,(61) 99820-0336,"Asa Norte CLN 312, BL C Lj 03 Terreo - Asa Norte, Brasília - DF, 70765-530",REPROVADO,Grande franquia/rede: Drogasil (rede nacional),,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJqUue8107WpMRyWPz0Qjqo5U,q312-s0.json,2026-08-10
312,312/313,Usadão Brasília Brechó,Brechó,P1,48,4.5,,(61) 98582-8638,"Asa Norte CLN 312 Lj 23 - Asa Norte, Brasília - DF, 70765-530",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJAQAw7CU6WpMRFvjOUq6tXgw,q312-s0.json,2026-08-10
312,312/313,Só Frango,Açougue,P1,41,4.5,,(61) 3272-2147,"Asa Norte Comércio Local Norte 312, BL C Lj 13 - Asa Norte, Brasília - DF, 70765-530",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJUWpbmC06WpMROTfoDwQCyd4,q312-s0.json,2026-08-10
312,312/313,Dolci Infanti - Brechó Infantil,Loja de Roupa,P1,31,5,http://dolciinfanti.com.br/,(61) 99425-6786,"Asa Norte CLN 312, BL D Lj 55 - Asa Norte, Brasília - DF, 70765-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJhU1HfX8yWpMRDjwbQqSOcd4,q312-s20.json,2026-08-10
312,312/313,Frutaria 312 Norte,Mercado,P1,30,4.3,,(61) 3710-3333,"SHCN CLN 312, BL D - Plano Piloto, Brasília - DF, 70765-500",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJC38tHCk7WpMRligpYW7ipiA,q312-s0.json,2026-08-10
312,312/313,Drogaria Fátima,Farmácia,P1,28,4.5,,(61) 3447-4000,"Asa Norte CLN 312 Lj 23 - Asa Norte, Brasília - DF, 70765-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJx2qF_E47WpMRx4fBGKCTYvI,q312-s20.json,2026-08-10
312,312/313,Lígia Dantas Salão e Estética,Salão de Beleza,P1,25,4.8,,(61) 3349-3321,"Asa Norte Comércio Local Norte 312, BL E 312 Lj 61 - Asa Norte, Brasília - DF, 70765-550",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJZ4umQfE7WpMRjsBNgh_nDJg,q312-s20.json,2026-08-10
312,312/313,Salão de Beleza Studio Visual - Asa Norte,Salão de Beleza,P1,21,4.9,https://www.instagram.com/studiovisualbsb,(61) 98153-0260,"SHCN SQN 312 - Asa Norte, Brasília - DF, 70765-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJH4ntIwM7WpMRdBk6hIXaoV8,q312-s20.json,2026-08-10
312,312/313,Restaurante Cozinha das Minas,Restaurante Mineiro,P2,1182,4.5,https://pt-br.facebook.com/pages/Cozinha-das-Minas/127079464033716,(61) 3349-0001,"SHCN CLN 312, BL B Lj 29 - Asa Norte, Brasília - DF, 70765-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJMSyELoo5WpMR5iFwfi3ZEG0,q312-s0.json,2026-08-10
312,312/313,Açougue T-Bone,Açougue,P2,756,4.9,http://www.t-bone.com.br/,(61) 98370-3338,"Asa Norte Comércio Local Norte 312 Lj 27 - Asa Norte, Brasília - DF, 70765-520",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJkbyM8CU6WpMRNisELpJz-S0,q312-s0.json,2026-08-10
312,312/313,Verdivas,Floricultura,P2,94,4.8,https://floriculturaverdivas.com.br/,(61) 99817-4651,"Asa Norte CLN 312, BL A Lj 8 - Plano Piloto, Brasília - DF, 70765-510",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJqYKuXb87WpMRc_Npk1EXsoU,q312-s0.json,2026-08-10
312,312/313,Estúdio de beleza Jô - 312 norte,Salão de Beleza,P2,83,4.9,,(61) 99117-8098,"SHCN CLN 312, BL D - Plano Piloto, Brasília - DF, 70765-530",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJWSBgUTE7WpMRFc1RUZQiuCk,q312-s0.json,2026-08-10
312,312/313,Atual Utilidades - Elétrica - Hidráulica - Ferragens - Asa Norte,Loja de artigos domésticos,P2,80,4.7,http://instagram.com/atualutilidades,(61) 3340-3999,"Asa Norte Comércio Local Norte 312 Lj 02/64 - Asa Norte, Brasília - DF, 70765-510",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJAeEs9iU6WpMRSkJqZwp2SvA,q310-s20.json,2026-08-10
312,312/313,Thois Barbearia,Barbearia,P2,60,4.3,http://www.instagram.com/thoisbarbearia,(61) 3347-6724,"loja 45, Cln 312 norte, Brasília - DF, 70765-540",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJGTAZ6iU6WpMR-EeoeAYWmhU,q312-s20.json,2026-08-10
312,312/313,Lavanderia Alv Clean,Lavanderia,P2,58,4.8,https://sites.google.com/view/alvclean/p%C3%A1gina-inicial,(61) 3032-3113,"Asa Norte CLN 312 Lj 12 - Asa Norte, Brasília - DF, 70765-510",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJOfpV9iU6WpMRQqGUOgZ48DA,q312-s0.json,2026-08-10
312,312/313,Relojoeiro - Subsolo,Relojoaria,P3,19,3.9,,,"SHCN CLN 312 - Plano Piloto, Brasília - DF, 70765-500",APROVADO,,,,,,PENDENTE - busca reversa nome->CNPJ nao resolvida automaticamente,ChIJb5JCfgA7WpMREuu6vflAkzk,q312-s0.json,2026-08-10
